name,SMILES,number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio,number_ofC__norm,molecular_weight__norm,Density__norm,molar_volume__norm,melting_point__norm,boiling_point__norm,Tc__norm,Pc__norm,Vc__norm,logP__norm,pf_eigenvalue__norm,fiedler_eigenvalue__norm,degree_entropy__norm,compression_ratio__norm
methane,C,1,16.04,0.424,37.8,-183.0,-164,-82.0,45.6,99.0,1.09,0.0,0.0,-0.0,1.0,-3.8899229520310157,-3.8899039156058817,-5.201961496546507,-4.2457624256699456,-1.9047107862937895,-4.862047820120629,-5.310971112163296,3.779722958018173,-4.344955445771068,-3.3773266274754374,-6.633747540820826,-1.1703139610286377,-4.1840675081156595,-4.129551016605573
ethane,CC,2,30.07,0.546,55.1,-182.0,-89,32.0,39.6,148.0,1.81,1.0,2.0,-0.0,2.0,-3.314759247061449,-3.314634535443686,-2.8838672496113764,-3.62306133837524,-1.8798211680409822,-3.495158913847505,-3.5924182189501193,2.6415378765572424,-3.6755588611340277,-2.341120779112915,-3.341995039499445,6.422639858177139,-4.1840675081156595,-2.9185857148267274
propane,CCC,3,44.1,0.581,75.9,-188.0,-45,97.0,42.0,203.0,2.36,1.41,1.0,0.637,2.25,-2.7395955420918825,-2.7393651552814906,-2.218840211556218,-2.8743802623214902,-2.0291588775578266,-2.693250755500606,-2.6125415693110274,3.096811909141614,-2.924195347765922,-1.5495746449470997,-1.9923765139576786,2.626162948574251,-1.2649282055807805,-2.615844389382016
butane,CCCC,4,58.12,0.579,100.4,-138.0,1,153.0,36.0,255.0,2.89,1.62,0.586,0.693,2.67,-2.1644318371223163,-2.164505803187836,-2.2568417565879413,-1.992520341008179,-0.7846779649174552,-1.8548922263197565,-1.7683401480835022,1.958626827680684,-2.213815298763349,-0.7868120065691313,-1.301108488680188,1.054421507998655,-1.0083005745887035,-2.1072389626349004
isobutane,CC(C)C,4,58.12,0.593,98.0,-145.0,-12,135.0,36.0,263.0,2.76,1.73,1.0,0.562,2.67,-2.1644318371223163,-2.164505803187836,-1.9908309413658771,-2.078906619014381,-0.9589052926871072,-2.091819636740431,-2.0396906049066352,1.958626827680684,-2.1045260604552607,-0.9739047291901428,-0.9390157135348364,2.626162948574251,-1.6086259256594553,-2.1072389626349004
pentane,CCCCC,5,72.15,0.626,115.2,-129.0,36,197.0,32.7,304.0,3.23,1.73,0.382,0.673,3.12,-1.5892681321527498,-1.58923642302564,-1.36380544834244,-1.459804959969934,-0.5606714006421885,-1.2170107367256322,-1.1050390314047325,1.332625032877173,-1.544418714126309,-0.297492578175718,-0.9390157135348364,0.2799402184396658,-1.0999532999430164,-1.5623045768344197
isopentane,CC(C)CC,5,72.15,0.614,117.5,-160.0,28,188.0,32.9,308.0,2.3,1.85,0.519,0.95,3.12,-1.5892681321527498,-1.58923642302564,-1.5918147185327807,-1.377018110213991,-1.3322495664792187,-1.362812220061432,-1.240714259816299,1.3705645355925364,-1.4897740949722649,-1.6359251323106432,-0.5440054133762702,0.8000575550552617,0.16943694621422276,-1.5623045768344197
"2,2-dimethylpropane",CC(C)(C)C,5,72.15,0.613,117.7,-17.0,9,159.0,33.0,303.0,3.11,2.0,1.0,0.5,3.12,-1.5892681321527498,-1.58923642302564,-1.6108154910486425,-1.369819253713474,2.2269658436722435,-1.7090907429839568,-1.6778899958091245,1.389534286950219,-1.55807986891482,-0.4701935529028053,-0.050242538178063276,2.626162948574251,-1.8927493742578267,-1.5623045768344197
hexane,CCCCCC,6,86.18,0.659,130.7,-97.0,69,234.0,29.9,370.0,3.8,1.8,0.268,0.637,3.6,-1.0141044271831832,-1.0139670428634442,-0.7367799553190026,-0.9018935811798808,0.2357963834476493,-0.6155796179654577,-0.5472630923794033,0.8014719948620713,-0.6427824980845819,0.5228370517779455,-0.7085930384423395,-0.15285814925506344,-1.2649282055807805,-0.9810412319805736
2-methylpentane,CC(C)CCC,6,86.18,0.659,131.3,-154.0,60,225.0,29.9,367.0,3.21,1.9,0.325,1.01,3.6,-1.0141044271831832,-1.0139670428634442,-0.7367799553190026,-0.8802970116783295,-1.1829118569623742,-0.7796062867182325,-0.6829383207909698,0.8014719948620713,-0.6837659624501149,-0.3262760739635659,-0.37941778831020173,0.0635410345923012,0.44439512227716294,-0.9810412319805736
3-methylpentane,CCC(C)CC,6,86.18,0.664,129.8,-110.0,63,232.0,30.8,367.0,3.6,1.93,0.382,1.01,3.6,-1.0141044271831832,-1.0139670428634442,-0.641776092739694,-0.9342884354322057,-0.08776865383884727,-0.7249307304673076,-0.5774131431375291,0.9721997570812113,-0.6837659624501149,0.23500209389946736,-0.2806652132705602,0.2799402184396658,0.44439512227716294,-0.9810412319805736
"2,2-dimethylbutane",CC(C)(C)CC,6,86.18,0.649,132.7,-98.0,50,216.0,30.6,359.0,3.82,2.07,0.486,0.868,3.6,-1.0141044271831832,-1.0139670428634442,-0.9267876804776201,-0.8299050161747126,0.2109067651948419,-0.9618581408879824,-0.8186135492025364,0.934260254365847,-0.7930552007582031,0.5516205475657934,0.1801801369144329,0.6747738170383661,-0.2063392277384617,-0.9810412319805736
"3,3-dimethylbutane",CC(C)(C)CC,6,86.18,0.662,130.2,-129.0,58,227.0,30.9,357.95,3.42,2.07,0.486,0.868,3.6,-1.0141044271831832,-1.0139670428634442,-0.6797776377714175,-0.9198907224311729,-0.5606714006421885,-0.8160566575521825,-0.6527882700328439,0.9911695084388931,-0.8073994132861398,-0.024049368191163517,0.1801801369144329,0.6747738170383661,-0.2063392277384617,-0.9810412319805736
heptane,CCCCCCC,7,100.2,0.684,146.6,-90.0,98,267.0,27.0,432.0,3.5,1.85,0.198,0.598,4.08,-0.43894072221361674,-0.4391076907697892,-0.26176064242245933,-0.3295844893887931,0.4100237112173013,-0.08704924087318316,-0.04978725487032592,0.25134920548928863,0.20420909880310117,0.09108461496022799,-0.5440054133762702,-0.41861153292726566,-1.4436510200216917,-0.3997778871267275
2-methylhexane,CC(C)CCCC,7,100.2,0.679,147.6,-118.0,90,258.0,27.2,428.05,3.71,1.93,0.225,1.0,4.08,-0.43894072221361674,-0.4391076907697892,-0.356764505001768,-0.293590206886209,-0.2868855998613067,-0.23285072420898303,-0.18546248328189247,0.28928870820465286,0.15024753738848282,0.39331132073263037,-0.2806652132705602,-0.3161066563679877,0.39856875960000626,-0.3997778871267275
3-methylhexane,CCC(C)CCC,7,100.2,0.69,145.2,-119.0,92,262.0,28.1,418.03,,1.97,0.26,1.0,4.08,-0.43894072221361674,-0.4391076907697892,-0.14775600732729102,-0.3799764848924111,-0.3117752181141141,-0.19640035337503306,-0.12516238176564068,0.4600164704237928,0.013362766407601884,-0.024049368191163517,-0.1489951132177048,-0.18322996453188659,0.39856875960000626,-0.3997778871267275
"2,2-dimethylpentane",CC(C)(C)CCC,7,100.2,0.674,148.8,-125.0,79,248.0,28.4,416.03,,2.1,0.296,0.956,4.08,-0.43894072221361674,-0.4391076907697892,-0.4517683675810767,-0.25039706788310745,-0.4611129276309587,-0.43332776379570787,-0.33621273707252197,0.5169257244968388,-0.01395954316942015,-0.024049368191163517,0.27893271195407515,-0.046556795786182666,0.19693276382051678,-0.3997778871267275
"3,3-dimethylpentane",CCC(C)(C)CC,7,100.2,0.693,144.6,-135.0,86,263.0,30.0,419.13,,2.14,0.382,0.956,4.08,-0.43894072221361674,-0.4391076907697892,-0.09075368977970583,-0.40157305439396135,-0.710009110159033,-0.30575146587688296,-0.11008735638657771,0.8204417462197537,0.028390036674964314,-0.024049368191163517,0.41060281200693055,0.2799402184396658,0.19693276382051678,-0.3997778871267275
"2,3-dimethylpentane",CC(C)C(C)CC,7,100.2,0.694,144.3,-135.0,90,264.0,29.2,405.0,,2.05,0.322,0.956,4.08,-0.43894072221361674,-0.4391076907697892,-0.0717529172638441,-0.41237133914473595,-0.710009110159033,-0.23285072420898303,-0.09501233100751477,0.6686837353582963,-0.1646420804866963,-0.024049368191163517,0.11434508688800522,0.052151603863492525,0.19693276382051678,-0.3997778871267275
"2,4-dimethylpentane",CC(C)CC(C)C,7,100.2,0.673,148.9,-119.0,81,247.0,27.4,420.03,,2.0,0.268,0.956,4.08,-0.43894072221361674,-0.4391076907697892,-0.47076914009693843,-0.24679763963284923,-0.3117752181141141,-0.3968773929617579,-0.35128776245158494,0.3272282109200171,0.04068507598462392,-0.024049368191163517,-0.050242538178063276,-0.15285814925506344,0.19693276382051678,-0.3997778871267275
3-ethylpentane,CCC(CC)CC,7,100.2,0.699,143.4,-119.0,93,267.0,28.6,416.03,,2.0,0.382,1.0,4.08,-0.43894072221361674,-0.4391076907697892,0.02325094531546458,-0.4447661933970619,-0.3117752181141141,-0.17817516795805807,-0.04978725487032592,0.5548652272122037,-0.01395954316942015,-0.024049368191163517,-0.050242538178063276,0.2799402184396658,0.39856875960000626,-0.3997778871267275
