number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio,kpca_1,kpca_2
0.0,0.0,0.0,0.0,0.0175438596491228,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37233035482625454,0.47474663325370925
0.125,0.1250222776688647,0.3663663663663665,0.1205574912891986,0.0210526315789473,0.238095238095238,0.2807881773399014,0.7701149425287357,0.1074561403508772,0.1074626865671641,0.4291845493562232,1.0,0.0,0.2463054187192118,0.38964343938500323,0.5184833678108491
0.25,0.2500445553377294,0.4714714714714713,0.2655052264808363,0.0,0.3777777777777777,0.4408866995073892,0.8620689655172413,0.2280701754385964,0.1895522388059701,0.6051502145922746,0.5,0.5539130434782609,0.3078817733990148,0.4990228489623412,0.6849928248875373
0.375,0.3749777223311352,0.4654654654654653,0.4362369337979094,0.175438596491228,0.5238095238095238,0.5788177339901478,0.632183908045977,0.3421052631578947,0.2686567164179104,0.6952789699570816,0.293,0.6026086956521739,0.4113300492610837,0.6910389957685329,0.7110388581635227
0.375,0.3749777223311352,0.5075075075075074,0.4195121951219512,0.1508771929824561,0.4825396825396825,0.5344827586206896,0.632183908045977,0.3596491228070175,0.2492537313432835,0.7424892703862661,0.5,0.4886956521739131,0.4113300492610837,0.6471848053424852,0.7364568022338552
0.5,0.5000000000000001,0.6066066066066066,0.5393728222996516,0.2070175438596491,0.6349206349206349,0.687192118226601,0.5057471264367817,0.4495614035087719,0.3194029850746268,0.7424892703862661,0.191,0.5852173913043479,0.5221674876847291,0.8316054993910776,0.4272955137968042
0.5,0.5000000000000001,0.5705705705705706,0.5554006968641115,0.0982456140350877,0.6095238095238096,0.6650246305418719,0.5134099616858236,0.4583333333333333,0.180597014925373,0.7939914163090129,0.2595,0.8260869565217391,0.5221674876847291,0.7959797215564316,0.4031123394624795
0.5,0.5000000000000001,0.5675675675675675,0.5567944250871081,0.6,0.5492063492063493,0.5935960591133005,0.5172413793103448,0.4473684210526316,0.3014925373134328,0.8583690987124464,0.5,0.4347826086956522,0.5221674876847291,0.6408959404730175,0.5357654813216957
0.625,0.6250222776688649,0.7057057057057058,0.6473867595818815,0.3192982456140351,0.7396825396825397,0.7783251231527094,0.3984674329501915,0.5942982456140351,0.4044776119402984,0.7725321888412017,0.134,0.5539130434782609,0.6403940886699508,0.763432712646293,-0.009182710454470402
0.625,0.6250222776688649,0.7057057057057058,0.6515679442508712,0.119298245614035,0.7111111111111111,0.7561576354679803,0.3984674329501915,0.5877192982456141,0.3164179104477612,0.815450643776824,0.1625,0.8782608695652174,0.6403940886699508,0.758282968713696,-0.12400019257173746
